OBJECTID,SiteID,Location,Year,Count,Historical_annual_data,NO2 2024,Annual mean NO2 concentration μg m3,Survey,Current_,x,y
83,575,Baldwin Street traffic light outside domino's,2024,12,"2020: 30.9, 2021: 29.6, 2022: 31.5, 2023: 33, 2024: 34",34,34,,Yes,-288982.808727793,6701889.06748671
84,576,"Baldwin Street lamp post by cycle way, opp St Stephens St",2024,12,"2020: 23.9, 2021: 26.8, 2022: 29.8, 2023: 27.9, 2024: 27.2",27.2,27.2,,Yes,-288811.307352347,6701879.22135177
85,577,High St lamp post outside Wards solicitors,2024,11,"2020: 30.5, 2021: 27.8, 2022: 31.1, 2023: 35.3, 2024: 35.2",35.2,35.2,,Yes,-288583.613175002,6702052.94331383
86,578,Church Road-CAZ-Outside Gurdwara,2024,10,"2021: 33, 2022: 31.1, 2023: 27.5, 2024: 25.1",25.1,25.1,CAZ,Yes,-283853.344852891,6703007.1857158
87,579,Church Road-CAZ-Lamppost,2024,11,"2021: 35.4, 2022: 32.2, 2023: 27.2, 2024: 25.8",25.8,25.8,CAZ,Yes,-283363.406391227,6703055.84193516
88,580,Marlborough St-CAZ-Lamppost opposite hosp,2024,10,"2021: 47.9, 2022: 41.8, 2023: 33.8, 2024: 29.4",29.4,29.4,CAZ,Yes,-288880.696386277,6702929.21887671
89,581,Marlborough St-CAZ-Lamppost by coach station,2024,11,"2021: 40.8, 2022: 39.1, 2023: 30.4, 2024: 29",29,29,CAZ,Yes,-288634.558951011,6703005.11864684
90,582,Rupert St-CAZ-Post outside fire station,2024,10,"2021: 50, 2022: 43.7, 2023: 39.2, 2024: 45.4",45.4,45.4,CAZ,Yes,-288655.464286701,6702617.79581964
91,583,Rupert St-CAZ-Post outside police station,2024,9,"2021: 42.3, 2022: 37.9, 2023: 39.1, 2024: 36.6",36.6,36.6,CAZ,Yes,-288692.403677584,6702628.74061907
92,584,Rupert St-CAZ-Post outside Fusion Tower,2024,11,"2021: 33, 2022: 34.3, 2023: 30.8, 2024: 29.5",29.5,29.5,CAZ,Yes,-288846.975548393,6702524.67373119
93,585,Park St-CAZ-Lamppost by Guild,2024,10,"2021: 30.5, 2022: 32.1, 2023: 24.7, 2024: 29.9",29.9,29.9,CAZ,Yes,-289774.806693865,6702154.02892728
94,586,Park St-CAZ-Lamppost by Agora,2024,10,"2021: 38.6, 2022: 41.8, 2023: 32.6, 2024: 36.4",36.4,36.4,CAZ,Yes,-289769.578448062,6702102.67013239
95,587,Baldwin St-CAZ-Lamppost by Yelland House,2024,10,"2021: 26.5, 2022: 30.9, 2023: 28.5, 2024: 28.7",28.7,28.7,CAZ,Yes,-288795.573750588,6701914.68724236
96,588,Baldwin St-CAZ-Drainpipe on building,2024,12,"2021: 26.5, 2022: 31.5, 2023: 29.2, 2024: 28.3",28.3,28.3,CAZ,Yes,-288896.146325807,6701870.49907366
97,589,Marlborough St-CAZ-On sign leg,2024,12,"2021: 26.5, 2022: 27.2, 2023: 21.8, 2024: 20",20,20,CAZ,Yes,-288729.503590925,6703055.75489532
98,590,Marlborough St-CAZ-Post by bollards,2024,12,"2021: 42.3, 2022: 40.7, 2023: 31, 2024: 29.3",29.3,29.3,CAZ,Yes,-288825.414081121,6703027.66426102
99,591,Marlborough St-CAZ-Post,2024,11,"2021: 34.9, 2022: 33.1, 2023: 25.1, 2024: 23.4",23.4,23.4,CAZ,Yes,-288799.596980024,6703005.38363264
100,592,Upper Maudlin St-CAZ-Crossing by BRI,2024,3,"2021: 39.6, 2022: 38.6, 2023: 28.8, 2024: 26.7",26.7,26.7,CAZ,Yes,-289026.543035871,6702736.86174839
101,593,Upper Maudlin St-CAZ-Post by BRI,2024,12,"2021: 35.2, 2022: 36.3, 2023: 24.8, 2024: 23.8",23.8,23.8,CAZ,Yes,-289109.082997795,6702641.40846616
102,594,Lower Park Row-CAZ-Post by Art shop,2024,11,"2021: 34.1, 2022: 34.1, 2023: 26.6, 2024: 23.5",23.5,23.5,CAZ,Yes,-289219.712773787,6702454.16156801
103,595,Lower Park Row-CAZ-Post after OTR,2024,8,"2021: 32.2, 2022: 30.6, 2023: 23, 2024: 22.6",22.6,22.6,CAZ,Yes,-289267.290490453,6702394.33612116
104,596,Park Row-CAZ-Lamppost by museum,2024,9,"2021: 30, 2022: 31.2, 2023: 25.4, 2024: 22.9",22.9,22.9,CAZ,Yes,-289392.843236105,6702269.61713787
105,597,Park Row-CAZ-Post by house,2024,12,"2021: 32.7, 2022: 33, 2023: 21.7, 2024: 20.8",20.8,20.8,CAZ,No,-289437.752839152,6702275.67361725
106,598,Queens Road-CAZ-Lamppost by UoB,2024,11,"2021: 26.9, 2022: 26.8, 2023: 21.3, 2024: 22.3",22.3,22.3,CAZ,Yes,-289986.417851309,6702364.31518982
107,599,Park St-CAZ-Lamppost by bike stands,2024,12,"2021: 33.3, 2022: 31, 2023: 28.9, 2024: 28.5",28.5,28.5,CAZ,Yes,-289867.086101649,6702270.52830158
108,600,Park St-CAZ-Lamppost by City Hall,2024,9,"2021: 23.9, 2022: 23.9, 2023: 22, 2024: 20.8",20.8,20.8,CAZ,Yes,-289564.019228094,6701847.35983959
109,601,College Green-CAZ-Lamppost opp Denmark St,2024,11,"2021: 29.4, 2022: 30.8, 2023: 25.4, 2024: 27.5",27.5,27.5,CAZ,Yes,-289177.424630136,6701786.28300547
110,602,Anchor Road-CAZ-Lamppost,2024,10,"2021: 38, 2022: 42.7, 2023: 33.9, 2024: 33.5",33.5,33.5,CAZ,Yes,-289325.884318505,6701524.85918933
111,603,Lewins Mead-CAZ-Post by Evans Cycles,2024,12,"2021: 39.6, 2022: 41.9, 2023: 34.5, 2024: 35",35,35,CAZ,Yes,-288857.160773866,6702595.27216901
112,604,Lewins Mead-CAZ-Post by PMT,2024,11,"2021: 43, 2022: 43.1, 2023: 39, 2024: 35.4",35.4,35.4,CAZ,Yes,-288777.341558518,6702631.26286131
113,605,Rupert St-CAZ-Post by Courtrooms,2024,12,"2021: 32.4, 2022: 30.2, 2023: 23.6, 2024: 29.1",29.1,29.1,CAZ,Yes,-288934.452005463,6702445.24819481
114,606,Victoria Street-CAZ-No entry sign,2024,12,"2021: 25.5, 2022: 25.7, 2023: 24.4, 2024: 21.8",21.8,21.8,CAZ,Yes,-288278.539037084,6701769.49639164
115,607,Counterslip-CAZ-Drainpipe on building,2024,12,"2021: 27.8, 2022: 28.4, 2023: 23.3, 2024: 21.4",21.4,21.4,CAZ,Yes,-288184.320609915,6701807.20015473
116,608,Temple Gate-CAZ-Lamppost,2024,12,"2021: 39.4, 2022: 38.4, 2023: 31.9, 2024: 32",32,32,CAZ,Yes,-287568.73913653,6700951.23571188
117,609,Bath Road-CAZ-Lamppost or sign,2024,12,"2021: 30.2, 2022: 30.4, 2023: 25.2, 2024: 24.9",24.9,24.9,CAZ,Yes,-287283.012853419,6700674.05923594
118,610,Wells Road-CAZ-Lamppost,2024,12,"2021: 32.3, 2022: 32.4, 2023: 25.6, 2024: 25.3",25.3,25.3,CAZ,Yes,-286912.246697508,6699764.82633455
119,611,Winterstoke Road-CAZ-Lamppost,2024,12,"2021: 19.5, 2022: 20.1, 2023: 16.5, 2024: 15.3",15.3,15.3,CAZ,Yes,-290972.920613933,6698480.85801947
120,612,Newfoundland St-CAZ-Lamppost by layby,2024,12,"2021: 29.9, 2022: 30.9, 2023: 25.1, 2024: 23.6",23.6,23.6,CAZ,Yes,-288156.888565388,6702981.67231166
121,613,Newfoundland St-CAZ-Lamppost by crossing,2024,9,"2021: 40.6, 2022: 42, 2023: 33.3, 2024: 32",32,32,CAZ,Yes,-287980.610006261,6702978.27168877
122,614,Temple Way-CAZ-Sign by Champ Square,2024,11,"2021: 28.4, 2022: 29.4, 2023: 24.7, 2024: 23.4",23.4,23.4,CAZ,Yes,-287657.873014804,6702691.69863677
123,615,Newfoundland Way-CAZ-Lamppost by petrol station,2024,12,"2021: 53, 2022: 49.4, 2023: 38.4, 2024: 37.1",37.1,37.1,CAZ,Yes,-287432.768119981,6703197.92745018
124,616,Newfoundland Way-CAZ-Road sign,2024,11,"2021: 44, 2022: 42.5, 2023: 33.5, 2024: 29.5",29.5,29.5,CAZ,Yes,-287292.1407964,6703245.63631137
125,617,Houlton St-CAZ-30mph sign,2024,5,"2021: 28.4, 2022: 25.3, 2023: 22.4, 2024: 27.9",27.9,27.9,CAZ,Yes,-287388.222434343,6703036.02554241
126,618,Cheltenham Rd-CAZ-Sign opp Tesco,2024,12,"2021: 33.8, 2022: 31.5, 2023: 30.8, 2024: 30.9",30.9,30.9,CAZ,Yes,-288357.289277508,6703992.19763485
127,619,Cheltenham Rd-CAZ-Lamppost by Bite,2024,12,"2021: 34.7, 2022: 38.2, 2023: 35.2, 2024: 32.1",32.1,32.1,CAZ,Yes,-288303.920158055,6703931.57551177
128,621,Gloucester Rd-CAZ-Lamppost by bus stop,2024,7,"2021: 24.9, 2022: 25.4, 2023: 26.5, 2024: 26",26,26,CAZ,Yes,-288108.211684278,6706906.01899899
129,622,Bedminster Rd-CAZ-Lamppost opp school,2024,12,"2021: 33.7, 2022: 34.3, 2023: 29.7, 2024: 27.5",27.5,27.5,CAZ,Yes,-289955.425769149,6698213.18559292
130,623,Bedminster Rd-CAZ-Lamppost by school,2024,10,"2021: 30.6, 2022: 28.4, 2023: 25.6, 2024: 23.3",23.3,23.3,CAZ,Yes,-289995.522979741,6698220.88132186
131,624,Bedminster Rd-CAZ-Post opp Van Sales,2024,12,"2021: 49.7, 2022: 48.4, 2023: 37.6, 2024: 39.9",39.9,39.9,CAZ,Yes,-290275.973763608,6698053.183866
132,625,Bedminster Rd-CAZ-Lamppost by Van Sales,2024,12,"2021: 45.4, 2022: 44.7, 2023: 37.6, 2024: 32.9",32.9,32.9,CAZ,Yes,-290301.792446708,6698077.05186257
133,626,Bedminster Rd-CAZ-Post,2024,8,"2021: 43, 2022: 43.3, 2023: 38.7, 2024: 33.4",33.4,33.4,CAZ,Yes,-290581.364603998,6697997.65638883
134,627,Parson St-CAZ-Lamppost by Station,2024,10,"2021: 34, 2022: 33.3, 2023: 27.9, 2024: 29.2",29.2,29.2,CAZ,Yes,-290324.52230253,6698308.06088837
135,628,Lower Ashley Rd-CAZ-Lamppost by Geo Jones,2024,12,"2021: 35.9, 2022: 33.2, 2023: 29.5, 2024: 28.6",28.6,28.6,CAZ,Yes,-287056.42728548,6704240.40230617
136,629,Lower Ashley Rd-CAZ-Lamppost opp London Rd,2024,11,"2021: 38.9, 2022: 34.8, 2023: 34.6, 2024: 26.7",26.7,26.7,CAZ,Yes,-286964.823086945,6704207.38663853
137,630,Bedminster Down Rd-CAZ-Lamppost by billboard,2024,9,"2021: 30.3, 2022: 35.5, 2023: 26.7, 2024: 24.3",24.3,24.3,CAZ,Yes,-290795.175714285,6697905.95953687
138,632,West St-CAZ-Lamppost by Argus Rd,2024,12,"2021: 23.4, 2022: 24.6, 2023: 22.6, 2024: 22.1",22.1,22.1,CAZ,No,-289939.167510014,6698961.53897052
139,633,West St-CAZ-Lamppost opp Jamiesons,2024,11,"2021: 36.5, 2022: 34.6, 2023: 31.4, 2024: 33.2",33.2,33.2,CAZ,Yes,-289711.676452964,6699342.37082829
140,634,Bedminster Parade-CAZ-Lamppost by William Hill,2024,11,"2021: 34.6, 2022: 30.1, 2023: 28.1, 2024: 26.1",26.1,26.1,CAZ,Yes,-288828.609373328,6700059.38686374
141,635,York Rd-CAZ-Sign after bridge,2024,12,"2021: 25.3, 2022: 23.8, 2023: 19.9, 2024: 16.5",16.5,16.5,CAZ,No,-288296.522831912,6700418.6139399
142,636,Bath Rd-CAZ-Lamppost by Bus Lane,2024,11,"2021: 26.2, 2022: 25.5, 2023: 22.1, 2024: 21",21,21,CAZ,No,-286959.15307169,6700230.16452906
143,637,Bath Rd-CAZ-Lamppost by Kings Road,2024,12,"2021: 21.7, 2022: 24.2, 2023: 17.1, 2024: 16.9",16.9,16.9,CAZ,No,-284925.98213891,6699526.56389169
144,638,A4044 Roundabout-CAZ-Lamppost,2024,12,"2021: 43.8, 2022: 42.4, 2023: 44.8, 2024: 41.6",41.6,41.6,CAZ,Yes,-287683.770684242,6702322.02309257
145,639,Victoria St-CAZ-Lamppost opp Mitchell Lane,2024,12,"2021: 27, 2022: 29.5, 2023: 29.6, 2024: 25.8",25.8,25.8,CAZ,Yes,-287965.592135745,6701500.56680266
146,640,Lamb Street-CAZ-One way sign by Church,2024,11,"2021: 28.1, 2022: 27.1, 2023: 23.6, 2024: 22.3",22.3,22.3,CAZ,No,-287214.987817026,6702606.87609025
147,641,Stokes Croft-CAZ-Lamppost,2024,11,"2021: 39.7, 2022: 38.1, 2023: 36.8, 2024: 34.7",34.7,34.7,CAZ,Yes,-288310.098556115,6703703.38260294
148,642,Ashley Road-CAZ-Lamppost opp Drumd Rd,2024,12,"2021: 28.9, 2022: 24.6, 2023: 24.9, 2024: 22.7",22.7,22.7,CAZ,No,-288052.425548955,6703943.24322785
149,643,Sussex Place-CAZ-Lamppost,2024,12,"2021: 39.7, 2022: 35.6, 2023: 28.8, 2024: 25.4",25.4,25.4,CAZ,Yes,-287188.664301657,6704345.39763805
150,644,Ashley Down Rd-CAZ-Lamppost,2024,12,"2021: 31.8, 2022: 31.7, 2023: 28.2, 2024: 25.1",25.1,25.1,CAZ,Yes,-287423.539960366,6705469.93319363
151,645,Gloucester Rd-CAZ-Lamppost opp Baths,2024,11,"2021: 30.3, 2022: 28.9, 2023: 28.3, 2024: 27.3",27.3,27.3,CAZ,Yes,-288456.08851493,6705713.93430328
152,646,Cheltenham Rd-CAZ-Post by Papa Johns,2024,12,"2021: 31.7, 2022: 31.7, 2023: 31.9, 2024: 30.3",30.3,30.3,CAZ,Yes,-288436.842596843,6704319.32229724
153,647,Merchants Rd-CAZ-Lamppost by house,2024,12,"2021: 34.3, 2022: 30.9, 2023: 22.9, 2024: 23",23,23,CAZ,Yes,-291476.961493929,6701095.75626459
154,648,Wells Rd-CAZ-Lamppost by Red Lion Carpets,2024,12,"2021: 29, 2022: 29.2, 2023: 25.3, 2024: 25.8",25.8,25.8,CAZ,Yes,-285393.183673245,6697588.21041641
155,649,Bath Rd-CAZ-Lamppost,2024,12,"2021: 30.1, 2022: 30, 2023: 27.1, 2024: 24.7",24.7,24.7,CAZ,Yes,-283502.470401424,6698278.49155093
156,650,Wells Rd-CAZ-Lamppost,2024,11,"2021: 22.8, 2022: 21.6, 2023: 19.3, 2024: 19.6",19.6,19.6,CAZ,No,-285535.730462454,6698009.34601773
157,651,Church Rd-CAZ-Post by Barwaaqo Cafe,2024,10,"2021: 35.2, 2022: 33.9, 2023: 26.6, 2024: 28.6",28.6,28.6,CAZ,Yes,-285379.667685059,6702712.81340885
158,652,Whitehall Rd-CAZ-Lamppost by house,2024,11,"2021: 41.5, 2022: 37, 2023: 33.3, 2024: 30.4",30.4,30.4,CAZ,Yes,-285094.837359283,6703389.73226116
159,653,Stapleton Rd-CAZ-Lamppost by house,2024,12,"2021: 26, 2022: 30.9, 2023: 33.5, 2024: 26.2",26.2,26.2,CAZ,Yes,-286066.821662899,6703925.23954705
160,654,Mina Rd-CAZ-Lamppost by house,2024,12,"2021: 22.9, 2022: 24, 2023: 20, 2024: 18.9",18.9,18.9,CAZ,Yes,-286563.732877027,6704353.54987343
161,655,Muller Rd-CAZ-Lamppost opp LA DT,2024,12,"2021: 29.2, 2022: 28.6, 2023: 26.9, 2024: 26.6",26.6,26.6,CAZ,Yes,-284733.879150594,6705653.23243449
162,656,Stapleton Rd-CAZ-Lamppost,2024,12,"2021: 28.8, 2022: 27.3, 2023: 23.3, 2024: 21",21,21,CAZ,No,-285079.844145574,6706041.09150418
163,657,Fishponds Rd-CAZ-Lamppost,2024,10,"2021: 29.2, 2022: 33.5, 2023: 24.9, 2024: 23.9",23.9,23.9,CAZ,Yes,-284218.487148451,6705535.02282359
164,658,Fishponds Rd-CAZ-Lamppost,2024,12,"2021: 23.6, 2022: 24.1, 2023: 22.9, 2024: 20.2",20.2,20.2,CAZ,No,-281583.477092954,6706640.94873466
165,659,Muller Rd-CAZ-Lamppost,2024,12,"2021: 26.5, 2022: 25.1, 2023: 22.3, 2024: 23.8",23.8,23.8,CAZ,No,-287288.426526314,6708042.55315808
166,660,Muller Rd-CAZ-Lamppost,2024,12,"2021: 32.1, 2022: 32.4, 2023: 28.1, 2024: 27.7",27.7,27.7,CAZ,Yes,-285470.8712225,6705822.73283643
167,661,Linden Rd-CAZ-Lamppost by house,2024,10,"2021: 23.3, 2022: 22, 2023: 20.2, 2024: 18.3",18.3,18.3,CAZ,Yes,-290081.352645409,6706296.83285128
168,662,Linden Rd-CAZ-Lamppost by house,2024,12,"2021: 21.2, 2022: 20.7, 2023: 19.1, 2024: 16.5",16.5,16.5,CAZ,No,-290329.426128408,6706444.23460636
169,663,Whiteladies Rd-CAZ-Lamppost after petrol station,2024,11,"2021: 24.7, 2022: 25.9, 2023: 22.4, 2024: 20.8",20.8,20.8,CAZ,No,-291073.023746753,6704892.06966416
170,664,Westbury Rd-CAZ-Lamppost by hospital,2024,12,"2021: 25.5, 2022: 24.8, 2023: 19.7, 2024: 21.3",21.3,21.3,CAZ,No,-291154.66097586,6705262.57323216
171,665,Upper Maudlin St-CAZ-Lamppost opp BRI,2024,10,"2021: 37.6, 2022: 37.1, 2023: 31.6, 2024: 23.5",23.5,23.5,CAZ,Yes,-289005.663145548,6702730.60651535
172,666,Upper Maudlin St-CAZ-Lamppost by BRI,2024,8,"2021: 32.8, 2022: 31.3, 2023: 25.4, 2024: 22.4",22.4,22.4,CAZ,No,-289052.399063411,6702763.95991414
173,667,College Green-CAZ-Post by Toni&Guy,2024,12,"2021: 43.6, 2022: 45.3, 2023: 42, 2024: 41",41,41,CAZ,Yes,-289228.490562742,6701761.77128086
174,669,Temple Way Bridge-CAZ-Lamppost Temple Way Bridge,2024,12,"2021: 28.6, 2022: 33.2, 2023: 29.7, 2024: 22",22,22,CAZ,Yes,-287657.960147146,6701695.77765519
175,670,Bristol Hill-CAZ-Lamppost Bristol Hill,2024,12,"2021: 39.9, 2022: 38.8, 2023: 32.8, 2024: 33.1",33.1,33.1,CAZ,Yes,-284047.915620127,6698409.25865614
176,671,North View Downs Park West,2024,10,"2021: 26.1, 2022: 23.5, 2023: 21.3, 2024: 20.8",20.8,20.8,,Yes,-291110.796765422,6706530.90462922
177,673,Marlborough Street - co - located,2024,32,"2021: 36.1, 2022: 33.5, 2023: 26.1, 2024: 24.2",24.2,24.2,CAZ,Yes,-288922.248556989,6702916.02845388
178,674,Troopers Hill Opposite No 30,2024,12,"2022: 15.2, 2023: 14.2, 2024: 13.4",13.4,13.4,Liveable Neighbourhoods,Yes,-281822.639363867,6702480.85755695
179,675,Netham Lock Junction,2024,12,"2022: 26.4, 2023: 23.7, 2024: 23",23,23,Liveable Neighbourhoods,Yes,-284287.167897175,6701680.2747792
180,676,Blackswarth Road Opposite St Patrick's School,2024,12,"2022: 19.8, 2023: 19, 2024: 16.1",16.1,16.1,Liveable Neighbourhoods,Yes,-284103.338431866,6702586.01883236
181,677,Beaufort Road Opposite No 109,2024,11,"2022: 21.4, 2023: 17.6, 2024: 15.2",15.2,15.2,Liveable Neighbourhoods,Yes,-283509.659537915,6702685.26391766
182,678,Victoria Avenue Opposite No 90,2024,11,"2022: 17.7, 2023: 15.6, 2024: 14",14,14,Liveable Neighbourhoods,Yes,-284832.201991231,6702567.62418967
183,679,Avonvale Road Opposite Bristol Futures Academy,2024,10,"2022: 21, 2023: 20.3, 2024: 21.4",21.4,21.4,Liveable Neighbourhoods,Yes,-285061.452562614,6702165.8846374
184,680,Morely Street/Bright Street Ped Crossing,2024,11,"2022: 20.8, 2023: 19.9, 2024: 18.5",18.5,18.5,Liveable Neighbourhoods,Yes,-285321.338145554,6702419.29317675
185,681,Russel Town Avenue Opposite Pheonix Social Enterprise Club,2024,11,"2022: 24.8, 2023: 22.4, 2024: 21.7",21.7,21.7,Liveable Neighbourhoods,Yes,-285306.399838492,6702978.44266594
186,682,Church Road Miss Millies,2024,10,"2022: 26.7, 2023: 22.9, 2024: 23.5",23.5,23.5,Liveable Neighbourhoods,Yes,-284706.1926995,6702852.92401362
187,683,Victoria Parade Opposite No 39,2024,12,"2022: 18.6, 2023: 17.2, 2024: 13.5",13.5,13.5,Liveable Neighbourhoods,Yes,-284560.704536839,6703106.25011053
188,684,Lyppiatt Road Opposite No 25,2024,12,"2022: 20.1, 2023: 17, 2024: 15.3",15.3,15.3,Liveable Neighbourhoods,Yes,-284326.841694129,6703116.06067316
189,698,Portway - Sylvan Way,2024,11,"2023: 19.9, 2024: 21.7",21.7,21.7,CAZ,Yes,-295527.026385023,6707789.58556522
190,699,Portway - Roman Way,2024,12,"2023: 18.8, 2024: 16.7",16.7,16.7,CAZ,Yes,-294731.42011469,6706472.27271107
191,700,Portway - Bridge Valley Road,2024,12,"2023: 25.8, 2024: 20.2",20.2,20.2,CAZ,Yes,-292753.840150223,6702793.92334316
192,701,Blackboy Hill_Traffic light on pedestrian crossing,2024,11,"2024: 22.7, 2024: ",22.7,22.7,LAQM,Yes,-290987.98429075,6704688.71744112
193,702,Lamb Street_CAZ signpost by George Jones Park,2024,6,"2024: 19.6, 2024: ",19.6,19.6,LAQM,Yes,-287150.024055629,6702698.95738313
194,703,Sussex Place_No loading signpost,2024,12,"2024: 26.9, 2024: ",26.9,26.9,LAQM,Yes,-287169.117672068,6704305.38435264
195,704,Bedminster Down Rd junction with Winterstoke Close_CAZ,2024,10,"2024: 25.9, 2024: ",25.9,25.9,CAZ,Yes,-290492.561344328,6698295.42160649
196,705,A4044 Roundabout_Traffic Light,2024,8,"2024: 48.1, 2024: ",48.1,48.1,CAZ,Yes,-287670.89034527,6702314.09440021
197,706,Speedwell Road_near Wackum Inn,2024,5,"2024: 15.7, 2024: ",15.7,15.7,,Yes,-282968.937515838,6704099.85026149
198,707,Rodney Road junction with Whiteway Road,2024,5,"2024: 13.5, 2024: ",13.5,13.5,,Yes,-281405.887936288,6704014.90023284
199,708,Whiteway Road junction with A420,2024,5,"2024: 16.8, 2024: ",16.8,16.8,,Yes,-282269.546045028,6703345.08023419
200,709,Air Balloon Hill Primary School,2024,5,"2024: 11.2, 2024: ",11.2,11.2,,Yes,-281701.680936919,6702814.2638521
201,710,Nags Head Hill,2024,5,"2024: 18.6, 2024: ",18.6,18.6,,Yes,-281192.972470938,6702032.43167188
202,711,Barton Hill Academy,2024,5,"2024: 21.1, 2024: ",21.1,21.1,,Yes,-285472.000769582,6702010.1233445
203,373,123 Newfoundland Street façade,2023,12,"2010: 53, 2011: 47.9, 2012: 44.9, 2013: 45.2, 2014: 41.6, 2015: 38.3, 2016: 39.5, 2017: 38.5, 2018: 35.7, 2019: 31.2, 2020: 23.9, 2021: 27.9, 2022: 27.4, 2023: 22.3, 2024: 21.5",,22.3,BROADMEAD,Yes,-287292.865269621,6703337.20318085
204,560,Lamppost outside BRI CAZ,2023,21,"2019: 40.4, 2020: 30.2, 2021: 32.2, 2022: 31.5, 2023: 25.6, 2024: 20.5",,25.6,CAZ,No,-289022.128096125,6702785.09084199
205,502,Co-located Colston Ave,2023,33,"2019: 68.7, 2020: 52.1, 2021: 58, 2022: 54.1, 2023: 48.9, 2024: 50.8",,48.9,QAQC,Yes,-289057.625324914,6702224.17268152
206,499,Temple Way Nox site,2023,29,"2017: 38.5, 2018: 43.2, 2019: 33.6, 2020: 26, 2021: 31.1, 2022: 30.9, 2023: 26.2, 2024: 23.9",,26.2,QAQC,Yes,-287648.349706948,6702703.01974867
207,464,Fishponds Road,2023,33,"2010: 42.2, 2011: 39.2, 2012: 38, 2013: 35.7, 2014: 36, 2015: 34.9, 2016: 36.9, 2017: 36.8, 2018: 34.4, 2019: 29.7, 2020: 24.2, 2021: 23.7, 2022: 24, 2023: 20.8, 2024: 20.8",,20.8,QAQC,Yes,-282218.963762018,6706297.20472537
208,455,St. Pauls Day Nursery,2023,33,"2010: 34.8, 2011: 30, 2012: 29.5, 2013: 30.1, 2014: 27.3, 2015: 26.5, 2016: 27.9, 2017: 26, 2018: 24.4, 2019: 20.8, 2020: 15.9, 2021: 16.4, 2022: 16.7, 2023: 14.3, 2024: 13.8",,14.3,QAQC,Yes,-287711.369865179,6703574.84926661
209,439,Parson Street School,2023,30,"2010: 41.9, 2011: 40.9, 2012: 40.9, 2013: 44.7, 2014: 42, 2015: 41, 2016: 43.6, 2017: 37.7, 2018: 37.7, 2019: 31.7, 2020: 25.4, 2021: 28.6, 2022: 27.2, 2023: 24, 2024: 22.4",,24,QAQC,Yes,-289982.448521423,6698188.87869929
210,438,A37 Junction w/ Airport Road,2023,36,"2010: 48, 2011: 47.7, 2012: 43.4, 2013: 43.5, 2014: 44, 2015: 43.1, 2016: 43.4, 2017: 43.2, 2018: 36.6, 2019: 31.8, 2020: 27.1, 2021: 29, 2022: 29.4, 2023: 25, 2024: 23.2",,25,QAQC,Yes,-285394.401951542,6697329.73212812
211,320,Monitor     Bath Road Brislington,2023,35,"2010: 34.3, 2011: 33.1, 2012: 31.5, 2013: 31.1, 2014: 30.9, 2015: 31.3, 2016: 31.1, 2017: 30.7, 2018: 27.9, 2019: 23.5, 2020: 19.3, 2021: 20.8, 2022: 20.6, 2023: 17.7, 2024: 17",,17.7,QAQC,Yes,-284969.788762769,6699810.45977789
212,700,Portway - Bridge Valley Road,2023,8,"2023: 25.8, 2024: 20.2",,25.8,CAZ,Yes,-292753.840150223,6702793.92334316
213,699,Portway - Roman Way,2023,8,"2023: 18.8, 2024: 16.7",,18.8,CAZ,Yes,-294731.42011469,6706472.27271107
214,698,Portway - Sylvan Way,2023,4,"2023: 19.9, 2024: 21.7",,19.9,CAZ,Yes,-295527.026385023,6707789.58556522
215,684,Lyppiatt Road Opposite No 25,2023,8,"2022: 20.1, 2023: 17, 2024: 15.3",,17,Liveable Neighbourhoods,Yes,-284326.841694129,6703116.06067316
216,683,Victoria Parade Opposite No 39,2023,10,"2022: 18.6, 2023: 17.2, 2024: 13.5",,17.2,Liveable Neighbourhoods,Yes,-284560.704536839,6703106.25011053
217,682,Church Road Miss Millies,2023,10,"2022: 26.7, 2023: 22.9, 2024: 23.5",,22.9,Liveable Neighbourhoods,Yes,-284706.1926995,6702852.92401362
218,681,Russel Town Avenue Opposite Pheonix Social Enterprise Club,2023,11,"2022: 24.8, 2023: 22.4, 2024: 21.7",,22.4,Liveable Neighbourhoods,Yes,-285306.399838492,6702978.44266594
219,680,Morely Street/Bright Street Ped Crossing,2023,10,"2022: 20.8, 2023: 19.9, 2024: 18.5",,19.9,Liveable Neighbourhoods,Yes,-285321.338145554,6702419.29317675
220,679,Avonvale Road Opposite Bristol Futures Academy,2023,11,"2022: 21, 2023: 20.3, 2024: 21.4",,20.3,Liveable Neighbourhoods,Yes,-285061.452562614,6702165.8846374
221,678,Victoria Avenue Opposite No 90,2023,11,"2022: 17.7, 2023: 15.6, 2024: 14",,15.6,Liveable Neighbourhoods,Yes,-284832.201991231,6702567.62418967
222,677,Beaufort Road Opposite No 109,2023,12,"2022: 21.4, 2023: 17.6, 2024: 15.2",,17.6,Liveable Neighbourhoods,Yes,-283509.659537915,6702685.26391766
223,676,Blackswarth Road Opposite St Patrick's School,2023,12,"2022: 19.8, 2023: 19, 2024: 16.1",,19,Liveable Neighbourhoods,Yes,-284103.338431866,6702586.01883236
224,675,Netham Lock Junction,2023,12,"2022: 26.4, 2023: 23.7, 2024: 23",,23.7,Liveable Neighbourhoods,Yes,-284287.167897175,6701680.2747792
225,674,Troopers Hill Opposite No 30,2023,12,"2022: 15.2, 2023: 14.2, 2024: 13.4",,14.2,Liveable Neighbourhoods,Yes,-281822.639363867,6702480.85755695
